ФИО,Учитель,Школа,Класс,Параллель,Сектор,Статус,Задание,Топик,Сложность,Балл,Макс,Уровень_ученика
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,1,1,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,1,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,1,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,1,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,1,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,1,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,2,3,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,2,2,базовый
Севиндж Рагимов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,2,2,базовый
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,0,1,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,0,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,2,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,2,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,2,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,2,3,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,1,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,0,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,2,2,удовлетворительный
Анар Бабаев,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,0,2,удовлетворительный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,0,1,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,0,1,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,1,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,2,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,2,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,0,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,0,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,0,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,1,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,0,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,3,3,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,2,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,0,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,1,2,недостаточный
Фидан Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,1,2,недостаточный
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,1,1,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,1,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,1,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,3,3,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,2,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,1,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,1,2,базовый
Нармин Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,2,2,базовый
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,1,1,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,0,1,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,0,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,0,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,0,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,1,3,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,2,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,1,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,0,2,недостаточный
Нармин Ахмедов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,0,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,1,1,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,0,1,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,2,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,2,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,0,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,0,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,0,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,1,3,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,1,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,0,2,недостаточный
Ламия Исмаилов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,1,2,недостаточный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,1,Числа и счёт,1,0,1,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,2,Сравнение чисел,1,1,1,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,3,Сложение в пределах 100,2,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,4,Вычитание в пределах 100,2,1,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,5,Разрядный состав числа,2,1,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,6,Сложение с переходом через десяток,2,1,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,7,Вычитание с переходом через десяток,2,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,8,Таблица умножения,2,1,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,9,Деление,2,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,10,Порядок действий,2,0,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,11,Текстовая задача,2,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,12,Составная задача (2 действия),3,3,3,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,13,Геометрические фигуры,1,0,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,14,Периметр,3,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,15,Единицы измерения,2,2,2,удовлетворительный
Ниджат Сулейманов,Учитель 01,Лицей №3,2А,2,AZ,в проекте,16,Логическая задача,3,1,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,1,Числа и счёт,1,1,1,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,2,Сравнение чисел,1,1,1,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,3,Сложение в пределах 100,2,2,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,4,Вычитание в пределах 100,2,1,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,5,Разрядный состав числа,2,0,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,6,Сложение с переходом через десяток,2,0,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,7,Вычитание с переходом через десяток,2,2,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,8,Таблица умножения,2,2,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,9,Деление,2,2,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,10,Порядок действий,2,1,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,11,Текстовая задача,2,2,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,12,Составная задача (2 действия),3,1,3,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,13,Геометрические фигуры,1,0,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,14,Периметр,3,1,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,15,Единицы измерения,2,1,2,удовлетворительный
Турал Мамедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,16,Логическая задача,3,1,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,1,Числа и счёт,1,1,1,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,2,Сравнение чисел,1,0,1,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,3,Сложение в пределах 100,2,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,4,Вычитание в пределах 100,2,1,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,5,Разрядный состав числа,2,1,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,6,Сложение с переходом через десяток,2,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,7,Вычитание с переходом через десяток,2,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,8,Таблица умножения,2,1,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,9,Деление,2,0,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,10,Порядок действий,2,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,11,Текстовая задача,2,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,12,Составная задача (2 действия),3,1,3,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,13,Геометрические фигуры,1,2,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,14,Периметр,3,1,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,15,Единицы измерения,2,0,2,удовлетворительный
Сабина Рагимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,16,Логическая задача,3,2,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,1,Числа и счёт,1,1,1,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,2,Сравнение чисел,1,0,1,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,3,Сложение в пределах 100,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,4,Вычитание в пределах 100,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,5,Разрядный состав числа,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,6,Сложение с переходом через десяток,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,7,Вычитание с переходом через десяток,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,8,Таблица умножения,2,2,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,9,Деление,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,10,Порядок действий,2,2,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,11,Текстовая задача,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,12,Составная задача (2 действия),3,2,3,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,13,Геометрические фигуры,1,0,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,14,Периметр,3,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,15,Единицы измерения,2,1,2,удовлетворительный
Эльвин Ахмедов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,16,Логическая задача,3,2,2,удовлетворительный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,1,Числа и счёт,1,0,1,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,2,Сравнение чисел,1,0,1,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,3,Сложение в пределах 100,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,4,Вычитание в пределах 100,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,5,Разрядный состав числа,2,2,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,6,Сложение с переходом через десяток,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,7,Вычитание с переходом через десяток,2,2,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,8,Таблица умножения,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,9,Деление,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,10,Порядок действий,2,0,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,11,Текстовая задача,2,1,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,12,Составная задача (2 действия),3,0,3,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,13,Геометрические фигуры,1,2,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,14,Периметр,3,1,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,15,Единицы измерения,2,1,2,недостаточный
Тогрул Гусейнов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,16,Логическая задача,3,0,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,1,Числа и счёт,1,0,1,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,2,Сравнение чисел,1,1,1,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,3,Сложение в пределах 100,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,4,Вычитание в пределах 100,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,5,Разрядный состав числа,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,6,Сложение с переходом через десяток,2,0,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,7,Вычитание с переходом через десяток,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,8,Таблица умножения,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,9,Деление,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,10,Порядок действий,2,1,2,недостаточный
Ниджат Керимов,Учитель 02,Лицей №3,2Б,2,AZ,не в проекте,11,Текстовая задача,2,2,2,недостаточный
